"Date","Open","High","Low","Close"
"21 Jul 2020","12381.00","12402.10","12311.15","12344.20"
"20 Jul 2020","12253.05","12295.40","12207.45","12282.05"
"17 Jul 2020","12038.15","12201.90","12034.05","12183.05"
"16 Jul 2020","11981.05","12013.40","11807.70","11998.10"
"15 Jul 2020","12028.10","12104.70","11889.35","11920.90"
"14 Jul 2020","12100.10","12101.75","11898.10","11939.45"
"13 Jul 2020","12167.55","12187.35","12066.70","12131.15"
"10 Jul 2020","12133.45","12191.20","12037.35","12080.70"
"09 Jul 2020","12193.95","12223.80","12128.80","12171.75"
"08 Jul 2020","12235.85","12274.65","12105.95","12133.90"
"07 Jul 2020","12198.95","12213.90","12071.70","12195.85"
"06 Jul 2020","12140.40","12193.55","12109.90","12166.90"
"03 Jul 2020","12051.75","12068.45","12001.65","12048.25"
"02 Jul 2020","11924.70","12003.35","11897.55","11984.20"
"01 Jul 2020","11834.35","11876.20","11777.35","11863.15"
"30 Jun 2020","11916.75","11948.50","11775.85","11804.35"
"29 Jun 2020","11915.35","11932.90","11750.85","11826.15"
"26 Jun 2020","12016.70","12053.85","11922.55","11963.20"
"25 Jun 2020","11839.25","12016.45","11799.95","11907.85"
"24 Jun 2020","12200.10","12242.60","11881.95","11917.10"
"23 Jun 2020","11952.35","12112.50","11917.15","12096.60"
"22 Jun 2020","11757.05","11923.05","11735.60","11876.90"
"19 Jun 2020","11579.65","11660.70","11534.55","11641.85"
"18 Jun 2020","11396.15","11544.70","11364.00","11519.20"
"17 Jun 2020","11349.20","11486.90","11327.65","11410.20"
"16 Jun 2020","11577.20","11600.80","11231.25","11393.70"
"15 Jun 2020","11523.50","11554.10","11321.20","11389.50"
"12 Jun 2020","10973.85","11539.30","10973.35","11515.05"
"11 Jun 2020","11657.65","11722.10","11382.55","11405.85"
"10 Jun 2020","11639.45","11686.60","11566.10","11658.95"
"09 Jun 2020","11819.35","11873.55","11576.25","11627.60"
"08 Jun 2020","11863.05","11885.50","11680.30","11739.25"
"05 Jun 2020","11507.65","11689.45","11480.15","11662.70"
"04 Jun 2020","11368.85","11478.00","11266.15","11406.70"
"03 Jun 2020","11438.90","11505.30","11320.05","11360.15"
"02 Jun 2020","11216.95","11307.00","11168.70","11294.90"
"01 Jun 2020","11070.00","11237.40","11059.00","11149.95"
"29 May 2020","10678.05","10978.95","10649.20","10949.20"
"28 May 2020","10584.35","10742.70","10550.20","10724.75"
"27 May 2020","10433.25","10562.25","10336.10","10541.95"
"26 May 2020","10418.00","10477.15","10361.10","10399.45"
"22 May 2020","10384.90","10457.60","10288.80","10368.25"
"21 May 2020","10369.40","10480.40","10345.60","10427.10"
"20 May 2020","10152.35","10372.60","10125.75","10338.15"
"19 May 2020","10200.30","10275.85","10095.95","10151.25"
"18 May 2020","10441.60","10441.85","10049.40","10066.90"
"15 May 2020","10480.60","10483.70","10362.95","10426.05"
"14 May 2020","10469.90","10549.90","10413.90","10442.20"
"13 May 2020","10795.95","10795.95","10521.70","10576.90"
"12 May 2020","10324.10","10422.15","10186.85","10395.05"
"11 May 2020","10370.90","10466.10","10348.55","10370.10"
"08 May 2020","10406.40","10423.20","10252.95","10269.95"
"07 May 2020","10323.75","10398.65","10237.55","10251.15"
"06 May 2020","10280.50","10378.15","10141.60","10346.85"
"05 May 2020","10532.30","10565.90","10245.35","10264.55"
"04 May 2020","10540.15","10546.20","10352.05","10375.55"
"30 Apr 2020","10755.55","10924.50","10726.15","10890.30"
"29 Apr 2020","10450.95","10583.50","10427.25","10562.40"
"28 Apr 2020","10492.20","10509.25","10346.60","10401.00"
"27 Apr 2020","10314.30","10433.70","10307.10","10388.55"
"24 Apr 2020","10292.25","10372.20","10192.05","10207.05"
"23 Apr 2020","10410.75","10555.50","10377.35","10399.75"
"22 Apr 2020","10213.10","10370.40","10102.90","10352.70"
"21 Apr 2020","10266.70","10298.55","10160.75","10220.75"
"20 Apr 2020","10687.70","10687.70","10470.20","10482.70"
"17 Apr 2020","10724.75","10727.30","10421.45","10580.15"
"16 Apr 2020","10233.20","10448.75","10176.00","10403.20"
