"Date","Open","High","Low","Close"
"21 Jul 2020","-","-","-","1898.28"
"20 Jul 2020","-","-","-","1898.12"
"17 Jul 2020","-","-","-","1897.62"
"16 Jul 2020","-","-","-","1897.46"
"15 Jul 2020","-","-","-","1897.30"
"14 Jul 2020","-","-","-","1897.13"
"13 Jul 2020","-","-","-","1896.97"
"10 Jul 2020","-","-","-","1896.49"
"09 Jul 2020","-","-","-","1896.32"
"08 Jul 2020","-","-","-","1896.16"
"07 Jul 2020","-","-","-","1896.00"
"06 Jul 2020","-","-","-","1895.84"
"03 Jul 2020","-","-","-","1895.35"
"02 Jul 2020","-","-","-","1895.20"
"01 Jul 2020","-","-","-","1895.04"
"30 Jun 2020","-","-","-","1894.89"
"29 Jun 2020","-","-","-","1894.73"
"26 Jun 2020","-","-","-","1894.30"
"25 Jun 2020","-","-","-","1894.16"
"24 Jun 2020","-","-","-","1894.06"
"23 Jun 2020","-","-","-","1893.96"
"22 Jun 2020","-","-","-","1893.81"
"19 Jun 2020","-","-","-","1893.34"
"18 Jun 2020","-","-","-","1893.19"
"17 Jun 2020","-","-","-","1893.04"
"16 Jun 2020","-","-","-","1892.89"
"15 Jun 2020","-","-","-","1892.73"
"12 Jun 2020","-","-","-","1892.27"
"11 Jun 2020","-","-","-","1892.11"
"10 Jun 2020","-","-","-","1891.96"
"09 Jun 2020","-","-","-","1891.80"
"08 Jun 2020","-","-","-","1891.64"
"05 Jun 2020","-","-","-","1891.15"
"04 Jun 2020","-","-","-","1890.99"
"03 Jun 2020","-","-","-","1890.82"
"02 Jun 2020","-","-","-","1890.67"
"01 Jun 2020","-","-","-","1890.50"
"29 May 2020","-","-","-","1890.02"
"28 May 2020","-","-","-","1889.85"
"27 May 2020","-","-","-","1889.69"
"26 May 2020","-","-","-","1889.54"
"22 May 2020","-","-","-","1889.00"
"21 May 2020","-","-","-","1888.87"
"20 May 2020","-","-","-","1888.73"
"19 May 2020","-","-","-","1888.57"
"18 May 2020","-","-","-","1888.40"
"15 May 2020","-","-","-","1887.93"
"14 May 2020","-","-","-","1887.77"
"13 May 2020","-","-","-","1887.66"
"12 May 2020","-","-","-","1887.57"
"11 May 2020","-","-","-","1887.44"
"08 May 2020","-","-","-","1886.92"
"07 May 2020","-","-","-","1886.75"
"06 May 2020","-","-","-","1886.57"
"05 May 2020","-","-","-","1886.40"
"04 May 2020","-","-","-","1886.23"
"30 Apr 2020","-","-","-","1885.52"
"29 Apr 2020","-","-","-","1885.34"
"28 Apr 2020","-","-","-","1885.17"
"27 Apr 2020","-","-","-","1885.02"
"24 Apr 2020","-","-","-","1884.70"
"23 Apr 2020","-","-","-","1884.59"
"22 Apr 2020","-","-","-","1884.42"
"21 Apr 2020","-","-","-","1884.25"
"20 Apr 2020","-","-","-","1884.08"
"17 Apr 2020","-","-","-","1883.68"
"16 Apr 2020","-","-","-","1883.56"
"15 Apr 2020","-","-","-","1883.37"
"13 Apr 2020","-","-","-","1883.03"
"09 Apr 2020","-","-","-","1882.42"
"08 Apr 2020","-","-","-","1882.27"
"07 Apr 2020","-","-","-","1882.15"
"03 Apr 2020","-","-","-","1881.65"
"01 Apr 2020","-","-","-","1881.50"
"31 Mar 2020","-","-","-","1881.47"
"30 Mar 2020","-","-","-","1881.44"
"27 Mar 2020","-","-","-","1881.33"
"26 Mar 2020","-","-","-","1881.28"
"25 Mar 2020","-","-","-","1881.24"
"24 Mar 2020","-","-","-","1881.18"
"23 Mar 2020","-","-","-","1881.12"
"20 Mar 2020","-","-","-","1880.49"
"19 Mar 2020","-","-","-","1880.27"
"18 Mar 2020","-","-","-","1880.04"
"17 Mar 2020","-","-","-","1879.81"
"16 Mar 2020","-","-","-","1879.58"
"13 Mar 2020","-","-","-","1878.84"
"12 Mar 2020","-","-","-","1878.60"
"11 Mar 2020","-","-","-","1878.36"
"09 Mar 2020","-","-","-","1877.86"
"06 Mar 2020","-","-","-","1877.11"
"05 Mar 2020","-","-","-","1876.86"
"04 Mar 2020","-","-","-","1876.61"
"03 Mar 2020","-","-","-","1876.37"
"02 Mar 2020","-","-","-","1876.13"
"28 Feb 2020","-","-","-","1875.39"
"27 Feb 2020","-","-","-","1875.14"
"26 Feb 2020","-","-","-","1874.89"
"25 Feb 2020","-","-","-","1874.64"
"24 Feb 2020","-","-","-","1874.39"
"20 Feb 2020","-","-","-","1873.36"
"19 Feb 2020","-","-","-","1873.11"
"18 Feb 2020","-","-","-","1872.86"
"17 Feb 2020","-","-","-","1872.61"
"14 Feb 2020","-","-","-","1871.85"
"13 Feb 2020","-","-","-","1871.60"
"12 Feb 2020","-","-","-","1871.35"
"11 Feb 2020","-","-","-","1871.09"
"10 Feb 2020","-","-","-","1870.84"
"07 Feb 2020","-","-","-","1870.09"
"06 Feb 2020","-","-","-","1869.83"
"05 Feb 2020","-","-","-","1869.58"
"04 Feb 2020","-","-","-","1869.33"
"03 Feb 2020","-","-","-","1869.08"
"01 Feb 2020","-","-","-","1868.57"
"31 Jan 2020","-","-","-","1868.32"
"30 Jan 2020","-","-","-","1868.07"
"29 Jan 2020","-","-","-","1867.82"
"28 Jan 2020","-","-","-","1867.57"
"27 Jan 2020","-","-","-","1867.31"
"24 Jan 2020","-","-","-","1866.55"
"23 Jan 2020","-","-","-","1866.29"
"22 Jan 2020","-","-","-","1866.04"
"21 Jan 2020","-","-","-","1865.78"
"20 Jan 2020","-","-","-","1865.53"
"17 Jan 2020","-","-","-","1864.76"
"16 Jan 2020","-","-","-","1864.51"
"15 Jan 2020","-","-","-","1864.26"
"14 Jan 2020","-","-","-","1864.01"
"13 Jan 2020","-","-","-","1863.75"
"10 Jan 2020","-","-","-","1863.00"
"09 Jan 2020","-","-","-","1862.75"
"08 Jan 2020","-","-","-","1862.50"
"07 Jan 2020","-","-","-","1862.25"
"06 Jan 2020","-","-","-","1862.01"
"03 Jan 2020","-","-","-","1861.47"
"02 Jan 2020","-","-","-","1861.30"
"01 Jan 2020","-","-","-","1861.10"
"31 Dec 2019","-","-","-","1860.86"
"30 Dec 2019","-","-","-","1860.62"
"27 Dec 2019","-","-","-","1859.93"
"26 Dec 2019","-","-","-","1859.70"
"24 Dec 2019","-","-","-","1859.22"
"23 Dec 2019","-","-","-","1858.98"
"20 Dec 2019","-","-","-","1858.23"
"19 Dec 2019","-","-","-","1857.98"
"18 Dec 2019","-","-","-","1857.73"
"16 Dec 2019","-","-","-","1857.24"
"13 Dec 2019","-","-","-","1856.50"
"12 Dec 2019","-","-","-","1856.26"
"06 Dec 2019","-","-","-","1854.80"
"02 Dec 2019","-","-","-","1853.83"
"29 Nov 2019","-","-","-","1853.09"
"28 Nov 2019","-","-","-","1852.84"
"27 Nov 2019","-","-","-","1852.59"
"26 Nov 2019","-","-","-","1852.34"
"25 Nov 2019","-","-","-","1852.08"
"22 Nov 2019","-","-","-","1851.32"
"21 Nov 2019","-","-","-","1851.06"
"20 Nov 2019","-","-","-","1850.81"
"19 Nov 2019","-","-","-","1850.56"
"18 Nov 2019","-","-","-","1850.31"
"15 Nov 2019","-","-","-","1849.56"
"14 Nov 2019","-","-","-","1849.31"
"13 Nov 2019","-","-","-","1849.06"
"11 Nov 2019","-","-","-","1848.56"
"08 Nov 2019","-","-","-","1847.80"
"07 Nov 2019","-","-","-","1847.55"
"06 Nov 2019","-","-","-","1847.29"
"05 Nov 2019","-","-","-","1847.04"
"04 Nov 2019","-","-","-","1846.80"
"31 Oct 2019","-","-","-","1845.82"
"30 Oct 2019","-","-","-","1845.57"
"29 Oct 2019","-","-","-","1845.33"
"27 Oct 2019","-","-","-","1844.84"
"25 Oct 2019","-","-","-","1844.34"
"24 Oct 2019","-","-","-","1844.10"
"23 Oct 2019","-","-","-","1843.85"
"22 Oct 2019","-","-","-","1843.60"
"18 Oct 2019","-","-","-","1842.61"
"17 Oct 2019","-","-","-","1842.36"
"16 Oct 2019","-","-","-","1842.12"
"15 Oct 2019","-","-","-","1841.88"
"14 Oct 2019","-","-","-","1841.65"
"11 Oct 2019","-","-","-","1840.96"
"10 Oct 2019","-","-","-","1840.73"
"09 Oct 2019","-","-","-","1840.49"
"07 Oct 2019","-","-","-","1840.00"
"04 Oct 2019","-","-","-","1839.27"
"03 Oct 2019","-","-","-","1839.03"
"01 Oct 2019","-","-","-","1838.52"
"30 Sep 2019","-","-","-","1838.27"
"27 Sep 2019","-","-","-","1837.48"
"26 Sep 2019","-","-","-","1837.22"
"25 Sep 2019","-","-","-","1836.95"
"24 Sep 2019","-","-","-","1836.69"
"19 Sep 2019","-","-","-","1835.35"
"18 Sep 2019","-","-","-","1835.08"
"17 Sep 2019","-","-","-","1834.82"
