"Date","Open","High","Low","Close"
"21 Jul 2020","14607.75","14655.65","14530.05","14559.20"
"20 Jul 2020","14409.15","14527.40","14408.50","14497.60"
"17 Jul 2020","14258.45","14370.40","14254.25","14350.70"
"16 Jul 2020","14189.30","14222.95","14043.65","14204.75"
"15 Jul 2020","14213.45","14290.20","14126.70","14162.40"
"14 Jul 2020","14199.75","14256.35","14046.50","14119.85"
"13 Jul 2020","14263.45","14294.55","14159.35","14217.20"
"10 Jul 2020","14117.45","14238.90","14071.15","14178.30"
"09 Jul 2020","14112.10","14168.60","14072.75","14146.70"
"08 Jul 2020","14227.80","14300.40","14067.45","14087.00"
"07 Jul 2020","14143.95","14240.15","14063.10","14186.20"
"06 Jul 2020","14064.85","14122.00","13991.00","14102.90"
"03 Jul 2020","13909.80","13951.45","13886.90","13940.55"
"02 Jul 2020","13684.10","13835.85","13680.50","13795.20"
"01 Jul 2020","13698.85","13707.70","13636.10","13676.10"
"30 Jun 2020","13718.95","13762.40","13649.60","13701.05"
"29 Jun 2020","13778.00","13786.10","13633.35","13692.10"
"26 Jun 2020","13945.00","14008.70","13830.25","13845.15"
"25 Jun 2020","13712.95","13927.65","13649.60","13918.40"
"24 Jun 2020","14431.50","14435.40","13877.40","13910.35"
"23 Jun 2020","14079.85","14227.20","14015.35","14213.45"
"22 Jun 2020","13815.70","13902.40","13787.95","13870.75"
"19 Jun 2020","13488.50","13606.15","13447.15","13587.75"
"18 Jun 2020","13186.50","13334.75","13130.50","13321.65"
"17 Jun 2020","12996.00","13163.40","12980.30","13076.15"
"16 Jun 2020","13104.90","13150.75","12764.60","13006.80"
"15 Jun 2020","12953.75","13011.00","12807.95","12852.65"
"12 Jun 2020","12248.15","12919.05","12247.60","12882.65"
"11 Jun 2020","12981.95","13020.90","12656.20","12761.70"
"10 Jun 2020","12917.00","12938.00","12807.30","12875.00"
"09 Jun 2020","12879.80","12939.70","12723.75","12777.95"
"08 Jun 2020","12793.50","12831.35","12678.10","12749.55"
"05 Jun 2020","12415.55","12635.20","12357.90","12612.95"
"04 Jun 2020","12384.90","12515.55","12193.90","12337.30"
"03 Jun 2020","12411.65","12545.50","12249.65","12346.20"
"02 Jun 2020","12129.35","12238.70","12067.65","12217.85"
"01 Jun 2020","11834.85","12064.60","11830.45","12011.30"
"29 May 2020","11480.60","11710.90","11464.60","11679.35"
"28 May 2020","11409.20","11545.50","11400.25","11512.25"
"27 May 2020","11328.00","11376.40","11190.75","11367.65"
"26 May 2020","11283.35","11322.60","11221.05","11286.90"
"22 May 2020","11277.00","11343.40","11137.95","11227.25"
"21 May 2020","11256.95","11418.35","11239.95","11275.70"
"20 May 2020","11074.25","11231.70","11059.45","11212.60"
"19 May 2020","11147.85","11205.45","11047.05","11083.10"
"18 May 2020","11389.70","11395.00","10984.65","11039.25"
"15 May 2020","11526.75","11528.20","11372.35","11425.90"
"14 May 2020","11477.05","11580.40","11420.05","11462.70"
"13 May 2020","11758.15","11761.65","11491.90","11542.00"
"12 May 2020","11384.10","11426.10","11275.05","11401.55"
"11 May 2020","11451.90","11518.15","11403.40","11417.70"
"08 May 2020","11446.20","11491.70","11329.45","11363.15"
"07 May 2020","11308.75","11423.20","11295.35","11314.60"
"06 May 2020","11283.65","11419.15","11158.60","11354.25"
"05 May 2020","11472.75","11506.55","11218.80","11234.65"
"04 May 2020","11325.45","11368.65","11200.25","11305.00"
"30 Apr 2020","11659.15","11799.95","11647.65","11722.20"
"29 Apr 2020","11439.30","11530.05","11410.40","11508.10"
"28 Apr 2020","11335.05","11401.40","11228.60","11378.55"
"27 Apr 2020","11016.00","11266.15","11000.05","11227.55"
"24 Apr 2020","11105.80","11155.25","10936.30","10950.20"
"23 Apr 2020","11209.65","11397.50","11170.45","11266.50"
"22 Apr 2020","10982.95","11146.55","10836.85","11127.80"
"21 Apr 2020","11125.40","11153.45","10954.85","11021.15"
"20 Apr 2020","11472.75","11526.50","11341.20","11402.35"
"17 Apr 2020","11434.30","11523.95","11285.50","11382.65"
"16 Apr 2020","10899.60","11174.70","10849.45","11124.65"
"15 Apr 2020","10991.10","11185.30","10896.15","10954.60"
"13 Apr 2020","11029.55","11030.75","10632.95","10865.45"
"09 Apr 2020","10854.25","11016.15","10829.40","10953.65"
"08 Apr 2020","10482.90","10963.75","10426.30","10641.00"
"07 Apr 2020","10160.60","10503.05","10023.55","10476.05"
"03 Apr 2020","10021.20","10037.65","9754.00","9840.10"
"01 Apr 2020","10071.15","10170.05","9908.15","9976.75"
"31 Mar 2020","9991.05","10133.35","9824.70","10067.55"
"30 Mar 2020","9737.05","9918.70","9590.15","9754.25"
"27 Mar 2020","10324.95","10429.30","9782.05","9883.90"
"26 Mar 2020","9702.35","10171.25","9595.60","9974.55"
"25 Mar 2020","8909.45","9600.45","8874.10","9559.35"
"24 Mar 2020","9140.65","9272.30","8672.65","9052.30"
"23 Mar 2020","9303.50","9704.00","8901.10","8932.65"
"20 Mar 2020","9889.70","10373.55","9744.40","10255.00"
"19 Mar 2020","9527.30","10028.85","9157.65","9773.30"
"18 Mar 2020","10867.80","11008.20","10038.70","10100.20"
"17 Mar 2020","10975.05","11151.55","10704.15","10758.40"
"16 Mar 2020","11227.90","11369.80","10925.95","10992.15"
"13 Mar 2020","10371.55","11768.50","10035.70","11643.45"
"12 Mar 2020","11810.10","11845.60","11290.50","11362.45"
"11 Mar 2020","12317.85","12602.05","12313.05","12364.95"
"09 Mar 2020","12706.70","12721.15","12328.40","12433.50"
"06 Mar 2020","12764.45","13024.75","12694.85","13013.00"
"05 Mar 2020","13299.10","13371.95","13126.85","13279.05"
"04 Mar 2020","13575.00","13606.80","13104.35","13251.65"
"03 Mar 2020","13422.30","13584.15","13346.25","13514.95"
"02 Mar 2020","13526.55","13697.15","13179.20","13285.90"
