"Date","Open","High","Low","Close"
"21 Jul 2020","2627.57","2631.85","2627.57","2631.43"
"20 Jul 2020","2628.11","2628.49","2628.11","2627.11"
"17 Jul 2020","2625.82","2626.61","2625.82","2626.72"
"16 Jul 2020","2627.28","2627.77","2624.26","2625.36"
"15 Jul 2020","2623.05","2626.82","2623.05","2626.82"
"14 Jul 2020","2623.13","2623.13","2623.13","2622.59"
"13 Jul 2020","2618.83","2621.29","2618.83","2622.67"
"10 Jul 2020","2611.47","2617.43","2611.47","2617.45"
"09 Jul 2020","2608.68","2611.01","2608.68","2611.01"
"08 Jul 2020","2605.52","2607.80","2602.22","2608.22"
"07 Jul 2020","2598.93","2605.05","2594.69","2605.06"
"06 Jul 2020","2595.47","2597.09","2595.47","2598.47"
"03 Jul 2020","2593.81","2595.51","2591.26","2594.09"
"02 Jul 2020","2590.85","2593.63","2587.64","2593.35"
"01 Jul 2020","2581.08","2590.39","2581.08","2590.39"
"30 Jun 2020","2577.69","2580.69","2573.88","2580.62"
"29 Jun 2020","2571.68","2577.74","2571.68","2577.23"
"26 Jun 2020","2570.97","2573.61","2570.93","2570.31"
"25 Jun 2020","2568.85","2570.51","2568.46","2570.51"
"24 Jun 2020","2569.74","2569.74","2568.90","2568.39"
"23 Jun 2020","2573.16","2573.16","2573.16","2569.28"
"22 Jun 2020","2571.84","2573.46","2570.80","2572.70"
"19 Jun 2020","2567.83","2570.68","2567.83","2570.47"
"18 Jun 2020","2566.64","2567.04","2566.64","2567.37"
"17 Jun 2020","2568.98","2568.98","2563.58","2566.18"
"16 Jun 2020","2570.07","2572.61","2568.51","2568.52"
"15 Jun 2020","2569.35","2569.60","2568.48","2569.61"
"12 Jun 2020","2568.97","2568.97","2566.13","2567.96"
"11 Jun 2020","2567.05","2569.78","2567.05","2568.51"
"10 Jun 2020","2564.11","2566.81","2563.84","2566.59"
"09 Jun 2020","2558.71","2563.31","2558.71","2563.65"
"08 Jun 2020","2556.24","2558.19","2556.24","2558.25"
"05 Jun 2020","2557.09","2557.70","2556.52","2554.86"
"04 Jun 2020","2553.29","2558.16","2553.29","2556.63"
"03 Jun 2020","2560.26","2560.26","2551.88","2552.83"
"02 Jun 2020","2559.62","2560.35","2556.85","2559.80"
"01 Jun 2020","2569.21","2569.21","2561.69","2559.16"
"29 May 2020","2565.00","2568.85","2565.00","2568.30"
"28 May 2020","2562.78","2566.46","2561.10","2564.54"
"27 May 2020","2559.45","2562.31","2557.86","2562.31"
"26 May 2020","2556.41","2558.99","2556.41","2558.99"
"22 May 2020","2532.29","2558.87","2532.29","2554.57"
"21 May 2020","2528.75","2531.83","2528.75","2531.83"
"20 May 2020","2530.36","2530.64","2529.22","2528.29"
"19 May 2020","2524.63","2526.45","2524.63","2529.90"
"18 May 2020","2526.22","2528.86","2524.17","2524.18"
"15 May 2020","2522.53","2524.83","2522.53","2524.85"
"14 May 2020","2514.30","2528.02","2514.30","2522.07"
"13 May 2020","2506.35","2513.84","2505.94","2513.84"
"12 May 2020","2493.30","2505.89","2493.30","2505.89"
