"Date","Open","High","Low","Close"
"21 Jul 2020","2353.78","2354.04","2350.41","2350.64"
"20 Jul 2020","2353.59","2353.59","2351.41","2353.38"
"17 Jul 2020","2351.77","2353.17","2350.85","2352.50"
"16 Jul 2020","2351.79","2352.38","2350.08","2351.37"
"15 Jul 2020","2350.81","2351.85","2350.13","2351.39"
"14 Jul 2020","2354.52","2354.52","2349.59","2350.41"
"13 Jul 2020","2356.55","2356.55","2353.78","2354.12"
"10 Jul 2020","2346.92","2357.37","2346.92","2355.48"
"09 Jul 2020","2345.41","2346.96","2343.81","2346.52"
"08 Jul 2020","2343.76","2346.47","2343.67","2345.01"
"07 Jul 2020","2336.13","2343.63","2335.82","2343.35"
"06 Jul 2020","2335.30","2336.50","2335.04","2335.73"
"03 Jul 2020","2336.06","2336.34","2333.31","2334.22"
"02 Jul 2020","2335.15","2336.91","2334.38","2335.66"
"01 Jul 2020","2330.77","2336.28","2330.77","2334.75"
"30 Jun 2020","2327.42","2330.84","2327.42","2330.38"
"29 Jun 2020","2322.47","2328.98","2322.47","2327.02"
"26 Jun 2020","2321.35","2323.49","2321.01","2321.37"
"25 Jun 2020","2315.76","2320.95","2315.76","2320.95"
"24 Jun 2020","2316.52","2318.10","2314.97","2315.36"
"23 Jun 2020","2318.42","2318.42","2315.61","2316.12"
"22 Jun 2020","2317.75","2321.30","2317.48","2318.02"
"19 Jun 2020","2316.17","2318.63","2315.96","2316.64"
"18 Jun 2020","2311.30","2315.76","2310.61","2315.77"
"17 Jun 2020","2309.99","2311.69","2308.42","2310.90"
"16 Jun 2020","2314.62","2315.23","2308.01","2309.58"
"15 Jun 2020","2313.29","2314.81","2312.69","2314.22"
"12 Jun 2020","2312.23","2313.08","2310.33","2312.18"
"11 Jun 2020","2312.38","2313.85","2311.82","2311.83"
"10 Jun 2020","2311.64","2312.66","2311.63","2311.98"
"09 Jun 2020","2307.90","2312.30","2307.90","2311.24"
"08 Jun 2020","2307.46","2308.45","2307.14","2307.50"
"05 Jun 2020","2307.54","2307.54","2303.35","2306.35"
"04 Jun 2020","2302.94","2307.65","2302.64","2307.14"
"03 Jun 2020","2305.96","2305.96","2302.46","2302.54"
"02 Jun 2020","2301.84","2305.63","2299.54","2305.55"
"01 Jun 2020","2305.93","2305.93","2301.39","2301.44"
"29 May 2020","2306.67","2307.84","2304.54","2305.18"
"28 May 2020","2306.89","2306.90","2305.97","2306.27"
"27 May 2020","2308.38","2309.35","2305.68","2306.49"
"26 May 2020","2307.88","2309.18","2306.60","2307.97"
"22 May 2020","2298.19","2316.68","2298.19","2306.41"
